Date,Close,High,Low,Open,Volume
,VNQ,VNQ,VNQ,VNQ,VNQ
2015-07-29,52.17646789550781,52.262581846039794,51.56707019369736,51.77903483144168,7988100
2015-07-30,51.91814041137695,52.18309749370755,51.74592260345267,52.09698858974541,2932500
2015-07-31,52.3288459777832,52.74615014538491,52.229486398743326,52.27585352847685,5490400
2015-08-03,52.65341567993164,52.70640812903068,52.32884577306673,52.50768897172835,3766400
2015-08-04,52.26922607421875,52.898494898867554,52.14999560649569,52.80576065215378,4087300
2015-08-05,51.924781799316406,52.428199906192845,51.71944239743313,52.32884033786179,3783100
2015-08-06,51.99762725830078,52.03074878756295,51.12989777089897,51.971131045618215,3473300
2015-08-07,52.189727783203125,52.262591114127424,51.53396285852088,51.91152509438478,3942600
2015-08-10,52.024131774902344,52.44143582058084,51.78567087633273,52.39506870439435,2605100
2015-08-11,52.36857986450195,52.58716989458905,51.83204529395847,51.89165800018004,4539900
2015-08-12,52.53417205810547,52.54742269388545,51.9049033067509,52.18310601448849,3229200
2015-08-13,52.593788146972656,52.81237814769131,51.977764997261595,52.41493994506224,2381900
2015-08-14,52.87860870361328,52.898479600214074,52.2427147442083,52.44142876385213,2558200
2015-08-17,53.329063415527344,53.36880523048357,52.653422239439244,52.93163010504897,2912600
2015-08-18,53.47475814819336,53.54099615137009,53.1501833414467,53.30253529702531,2904800
2015-08-19,53.15681457519531,53.40190077323112,52.838865049463344,53.329037445534965,2401000
2015-08-20,52.76601028442383,53.1634434277915,52.607032984167475,52.898486314334185,3999800
2015-08-21,51.78567123413086,52.69976798253897,51.78567123413086,52.501053934782426,4126300
2015-08-24,49.36133575439453,51.05043347960571,47.85771160641659,50.02372622645566,10864500
2015-08-25,48.00342559814453,50.34166253631516,47.9968002801609,50.0237129703803,9163900
2015-08-26,49.30172348022461,49.434199554370736,48.26177063189877,48.480360702514346,5067500
2015-08-27,50.25554656982422,50.65297968128373,49.334824591049134,49.75875391709077,5627400
2015-08-28,50.18270492553711,50.32843164188475,49.82501345458519,50.22244673776342,3881100
2015-08-31,49.03675079345703,50.17606286443938,49.03675079345703,50.06345773160981,6197200
2015-09-01,48.10279083251953,48.791677428679776,47.758345007620655,48.54659117071856,7218400
2015-09-02,48.59959030151367,48.771808184025055,48.16903548795882,48.41411672600894,5018500
2015-09-03,48.732051849365234,49.08974320077671,48.61944671659774,48.76517338424353,3712600
2015-09-04,47.82457733154297,48.43398024439507,47.47351128337849,48.43398024439507,4262900
2015-09-08,48.54658126831055,48.6790572947803,48.09615570322234,48.2485026282989,3004500
2015-09-09,47.99018096923828,49.10962232766208,47.917317623208476,48.93077914881281,3338100
2015-09-10,48.09614944458008,48.59956737620215,47.85768858505572,47.910681010202424,4609500
2015-09-11,49.01688003540039,49.03012561721521,48.016669311551645,48.089532645624935,3892500
2015-09-14,49.04339599609375,49.182497402512695,48.897669269281884,49.089763131566734,3040500
2015-09-15,49.52692794799805,49.63291283766625,48.73206149003734,49.06325668979392,2737200
2015-09-16,50.05683517456055,50.17606563167237,49.473933525145476,49.49380442572462,3318500
2015-09-17,50.626487731933594,51.4942173546498,49.85811260522564,50.109824138144205,6337800
2015-09-18,50.54036331176758,51.14313563504622,50.03694545401531,50.268780962968634,5798800
2015-09-21,50.970943450927734,51.22927532388463,50.54039369842498,50.56688486940272,3176300
2015-09-22,50.32841873168945,50.891449492900385,50.2158085365376,50.61324677140375,2963500
2015-09-23,50.644187927246094,50.89841566138439,50.23609034743375,50.510387617603044,3708700
2015-09-24,50.169185638427734,50.784680277715374,49.861440870861,50.57059163507329,3707600
2015-09-25,50.369895935058594,50.7913715056279,50.075529127842444,50.389965471158845,3330000
2015-09-28,49.58715057373047,50.276231829358295,49.21919208569893,50.25616229440282,4094600
2015-09-29,50.11568069458008,50.3297642848107,49.54033008880614,49.88821400887262,3784900
2015-09-30,50.53715133666992,50.63750412621451,50.11567574556855,50.47693762128121,6237100
2015-10-01,50.7846794128418,50.86495754831125,50.2494680236597,50.617426491741654,4105200
2015-10-02,51.15264129638672,51.166024390630014,50.20264577131044,50.918488188678474,4602000
2015-10-05,52.01567840576172,52.102648120583865,51.3466664648516,51.36673600641394,5176500
2015-10-06,51.89522933959961,52.323396353054235,51.74804597169581,52.0424127075034,3570700
2015-10-07,52.490665435791016,52.490665435791016,51.9220064242355,52.10263736516537,4211900
2015-10-08,52.93220901489258,52.97903963102996,52.26988373846536,52.44382821447038,3953200
2015-10-09,52.845237731933594,52.97235160023725,52.584323552687444,52.925520980991905,3102700
2015-10-12,53.21988296508789,53.42058341330595,52.84523294093657,52.958968809496454,3216500
2015-10-13,52.805118560791016,53.25335538595102,52.651243551475176,53.05265484389681,2362700
2015-10-14,52.410377502441406,52.97235002078412,52.29664673111588,52.91213630974708,3349200
2015-10-15,53.12623977661133,53.12623977661133,52.41708366044825,52.463914291351436,2533600
2015-10-16,53.52763366699219,53.62129490736992,53.139605611624575,53.159675148254834,2875000
2015-10-19,54.27692413330078,54.276924133300774,53.433972961463674,53.50756466594776,3146100
2015-10-20,54.25685501098633,54.40403842107897,54.02939345295579,54.17657686304843,2781500
2015-10-21,54.0561408996582,54.51775544630922,54.01599673166198,54.357194086785114,3460600
2015-10-22,54.53116226196289,54.70510168372605,54.06285086205118,54.16320366947196,3504200
2015-10-23,54.00262451171875,54.64487512255092,53.67481021230687,54.55121389414753,3421300
2015-10-26,53.98923873901367,54.149805211865214,53.55438524479726,54.02269136356288,3280000
2015-10-27,53.969173431396484,54.1096652780258,53.7015677265126,53.98255652392553,7135300
2015-10-28,54.01602554321289,54.363914629254516,53.01919912758051,53.969194909033014,4576600
2015-10-29,53.942413330078125,54.01600502786146,53.58114638754748,53.85544364367708,3283100
2015-10-30,53.44735336303711,54.062843006354576,53.400522740266325,53.949112223076256,7057100
2015-11-02,54.58467102050781,54.591362567758054,53.37376128011994,53.567775317136814,6869600
2015-11-03,54.036075592041016,54.51776485792284,53.821992040999596,54.464247798278336,5285300
2015-11-04,53.79522705078125,54.16318038090732,53.634660586284504,54.069519162027696,3165100
2015-11-05,54.00931930541992,54.069527911233585,53.50756050702163,53.81530529087405,2804100
2015-11-06,52.330101013183594,53.360379742565804,51.99559513107851,53.13960463537933,7070200
2015-11-09,51.433631896972656,52.109335330192074,51.09912595437075,51.995604534704775,5919100
2015-11-10,52.02237319946289,52.14279556050484,51.41356984526295,51.426952943243364,4688800
2015-11-11,52.08258056640625,52.30335574032845,51.88856648364033,52.022371939421774,2228400
2015-11-12,51.72799301147461,52.18961279429714,51.634331766286714,51.94207658678339,3212200
2015-11-13,51.13925552368164,52.015659209509316,51.09911135121603,51.754745057176585,4250100
2015-11-16,51.72799301147461,51.72799301147461,50.92518088010548,51.02552856841033,3117900
2015-11-17,51.72799301147461,52.169543256636175,51.53397897382681,51.58750114369277,3845600
2015-11-18,52.182918548583984,52.21637117905909,51.460384605221826,51.78820405058258,3429200
2015-11-19,52.3434944152832,52.6044086718195,52.109341249693735,52.24983314904742,3628100
2015-11-20,52.999107360839844,53.05931596347113,52.517418123172824,52.67129305904308,3964600
2015-11-23,53.112850189208984,53.313555785213765,52.92552768848737,53.02588048648976,2370000
2015-11-24,52.83186721801758,52.938906461086304,52.39700848969151,52.82517567027722,3498900
2015-11-25,53.04594802856445,53.173061908193155,52.80510336408645,52.85862553489381,1959700
2015-11-27,53.50755310058594,53.67480601023446,53.01248081303559,53.025863904133566,1348700
2015-11-30,53.112850189208984,53.8286926621982,52.972358313667776,53.70157877778482,7609800
2015-12-01,53.848758697509766,53.868828234973435,53.132916271094025,53.186438440433804,3847300
2015-12-02,52.75156784057617,53.7684684118933,52.67128970884061,53.694876721699806,5713500
2015-12-03,51.922019958496094,52.75159338105508,51.78152805578374,52.67131521045163,4737300
2015-12-04,52.91213607788086,53.04594148840207,51.94876264290064,51.968832178440195,3434100
2015-12-07,52.764957427978516,52.97904097921939,52.530799237178464,52.8251660341926,4195100
2015-12-08,52.71813201904297,52.91214094989217,52.42376519294627,52.47728736208294,3638600
2015-12-09,52.42375946044922,52.95897088498099,52.156153748183335,52.537490229312034,4218800
2015-12-10,52.04911422729492,52.69136487055742,52.002283610728526,52.51072884654817,3465000
2015-12-11,51.95545959472656,52.18961270730602,51.627640132960295,51.92869850983819,3420800
2015-12-14,52.19630813598633,52.22306922548161,51.56074884898009,52.02905515475774,4775000
2015-12-15,52.764957427978516,53.025871596548505,52.430451560154985,52.430451560154985,3449100
2015-12-16,53.79522705078125,53.90226625629213,52.85860975783135,52.98571849536592,4699300
2015-12-17,53.52763366699219,53.91565661820501,53.3737587125689,53.86213955524259,3726800
2015-12-18,52.90544891357422,53.55439110932239,52.905448913574226,53.467416317631745,5724400
2015-12-21,53.112850189208984,53.43397812198556,52.82517489048499,53.18644190080038,4455300
2015-12-22,53.32691955566406,53.66142539036588,53.22656678442273,53.233258330279874,6484300
2015-12-23,53.87503433227539,53.88860435104236,53.393402174963086,53.454456908522936,4029000
2015-12-24,53.87503433227539,54.05819335750919,53.576561200196885,53.77327989330614,1426000
2015-12-28,54.17350769042969,54.18029269919328,53.59690615621077,53.69866058588359,6628800
2015-12-29,54.7501220703125,54.81117681261917,54.18030541116481,54.26848984400057,3499800
2015-12-30,54.56017303466797,54.885786190358,54.519473330998785,54.709412182049,3114300
2015-12-31,54.0853271484375,54.70262842851931,54.078542139188386,54.53303942541119,3292400
2016-01-04,53.43410110473633,53.65795983213004,52.93890411129096,53.637609979720736,8843700
2016-01-05,54.46521759033203,54.634806633081055,53.406983619721075,53.45446834467293,7114700
2016-01-06,54.31596374511719,54.39736832682703,53.94965089059111,53.97678575116106,5481200
